Country,Code,Continent_region,Year,High_body_mass_index,Population,Total_death_rate,Death_rate_per_100k_people
Mauritius,MUS,Africa,2019,2236,1265985,13563,1071.339708
Mexico,MEX,North America,2019,125591,125085311,691863,553.1129071
Moldova,MDA,Europe,2019,6769,2664224,49878,1872.13988
Monaco,MCO,Europe,2019,50,37034,385,1039.585246
Mongolia,MNG,Asia,2019,3587,3232430,30623,947.3677698
Montenegro,MNE,Europe,2019,1218,622028,10287,1653.784074
Morocco,MAR,Africa,2019,41920,36304408,303235,835.2566994
Mozambique,MOZ,Africa,2019,7744,30285595,131532,434.3054842
Myanmar,MMR,Asia,2019,31197,53040212,488029,920.1113299
Namibia,NAM,Africa,2019,1559,2446644,13500,551.776229
Nauru,NRU,Oceania,2019,16,12132,78,642.9277943
Nepal,NPL,Asia,2019,9145,28832496,205541,712.8796619
Netherlands,NLD,Europe,2019,11692,17344874,114041,657.4910835
New Zealand,NZL,Oceania,2019,3626,4979200,24383,489.6971401
Nicaragua,NIC,North America,2019,4342,6663924,30201,453.2014471
Niger,NER,Africa,2019,3665,23443393,118426,505.1572526
Nigeria,NGA,Africa,2019,47586,203304492,912981,449.0707466
North Macedonia,MKD,Europe,2019,4676,2076694,37970,1828.386849
Northern Mariana Islands,MNP,Oceania,2019,82,49858,413,828.3525212
Norway,NOR,Europe,2019,2781,5347896,26992,504.721857
Oman,OMN,Asia,2019,2417,4602768,14256,309.7266688
Pakistan,PAK,Asia,2019,101135,223293280,1375527,616.0180906
Palau,PLW,Oceania,2019,49,17916,237,1322.83992
Panama,PAN,North America,2019,2264,4232532,15185,358.7686992
Papua New Guinea,PNG,Oceania,2019,5008,9542486,66942,701.5153074
Paraguay,PRY,South America,2019,4820,6530026,32784,502.0500684
Peru,PER,South America,2019,14355,32824861,95593,291.2213398
Philippines,PHL,Asia,2019,65200,110380804,661704,599.4737998
Poland,POL,Europe,2019,57514,37965475,460603,1213.215428
Portugal,PRT,Europe,2019,10091,10286263,85563,831.8181248
Puerto Rico,PRI,North America,2019,5829,3193694,28480,891.7573193
Qatar,QAT,Asia,2019,963,2807235,4788,170.559287
Romania,ROU,Europe,2019,42107,19371648,324945,1677.425689
Rwanda,RWA,Africa,2019,3082,12835028,51184,398.7837035
Samoa,WSM,Oceania,2019,282,211905,1861,878.2237323
San Marino,SMR,Europe,2019,26,34178,215,629.059629
