Country,Code,Continent_Region,Year,Population,Total_Death_Rate
Afghanistan,AFG,Asia,2019,37769499,209370
Albania,ALB,Europe,2019,2854191,28500
Algeria,DZA,Africa,2019,42705368,248758
American Samoa,ASM,Oceania,2019,47321,440
Andorra,AND,Europe,2019,76343,461
Angola,AGO,Africa,2019,32353588,105877
Antigua and Barbuda,ATG,North America,2019,92117,562
Argentina,ARG,South America,2019,44938712,279007
Armenia,ARM,Asia,2019,2820602,36622
Australia,AUS,Oceania,2019,25340217,115179
Austria,AUT,Europe,2019,8879920,74571
Azerbaijan,AZE,Asia,2019,10024283,105302
Bahrain,BHR,Asia,2019,1494188,5933
Bangladesh,BGD,Asia,2019,165516222,970115
Barbados,BRB,North America,2019,280180,2666
Belarus,BLR,Europe,2019,9419758,153255
Belgium,BEL,Europe,2019,11488980,86707
Belize,BLZ,North America,2019,389095,1612
Benin,BEN,Africa,2019,12290444,54239
Bermuda,BMU,North America,2019,63911,469
Bhutan,BTN,Asia,2019,767459,3938
Bolivia,BOL,South America,2019,11777315,53929
Bosnia and Herzegovina,BIH,Europe,2019,3360711,54412
Botswana,BWA,Africa,2019,2499702,15296
Brazil,BRA,South America,2019,211782878,1152449
Bulgaria,BGR,Europe,2019,6975761,177175
Burkina Faso,BFA,Africa,2019,20951639,116939
Burundi,BDI,Africa,2019,11874838,55599
Cambodia,KHM,Asia,2019,16207746,113008
Cameroon,CMR,Africa,2019,25782341,128405
Canada,CAN,North America,2019,37601230,212170
Central African Republic,CAF,Africa,2019,5209324,40797
Chad,TCD,Africa,2019,16126866,102015
Chile,CHL,South America,2019,19039485,98543
China,CHN,Asia,2019,1407745000,13409833
Colombia,COL,South America,2019,50187406,191401
Comoros,COM,Africa,2019,790986,3767
Costa Rica,CRI,North America,2019,5084532,19431
Cote d'Ivoire,CIV,Africa,2019,26147551,111121
Croatia,HRV,Europe,2019,4065253,63838
Cuba,CUB,North America,2019,11316697,100247
Cyprus,CYP,Asia,2019,1228836,8293
Czechia,CZE,Europe,2019,10671870,133620
Denmark,DNK,Europe,2019,5814422,43825
Djibouti,DJI,Africa,2019,1073994,4551
Dominica,DMA,North America,2019,71428,635
Dominican Republic,DOM,North America,2019,10881882,65898
Ecuador,ECU,South America,2019,17343740,68009
El Salvador,SLV,North America,2019,6280217,33639
Equatorial Guinea,GNQ,Africa,2019,1553031,3674
Eritrea,ERI,Africa,2019,3498818,28504
Estonia,EST,Europe,2019,1326898,16275
Eswatini,SWZ,Africa,2019,1169613,7449
Ethiopia,ETH,Africa,2019,114120594,347063
Fiji,FJI,Oceania,2019,918465,11174
Finland,FIN,Europe,2019,5521606,48634
France,FRA,Europe,2019,67388001,402771
Gabon,GAB,Africa,2019,2242785,8831
Georgia,GEO,Asia,2019,3720161,69032
Germany,DEU,Europe,2019,83092962,879851
Ghana,GHA,Africa,2019,31522290,145698
Greece,GRC,Europe,2019,10721582,118223
Greenland,GRL,North America,2019,56225,391
Grenada,GRD,North America,2019,122724,787
Guam,GUM,Oceania,2019,168624,1226
Guatemala,GTM,North America,2019,16604026,72155
Guinea,GIN,Africa,2019,12877539,68799
Guinea-Bissau,GNB,Africa,2019,1970457,10013
Guyana,GUY,South America,2019,798753,6902
Haiti,HTI,North America,2019,11160438,85291
Honduras,HND,North America,2019,9958829,48852
Hungary,HUN,Europe,2019,9771141,162490
Iceland,ISL,Europe,2019,360563,1598
India,IND,Asia,2019,1383112050,9986827
Indonesia,IDN,Asia,2019,269582878,1914553
Iraq,IRQ,Asia,2019,41563520,250157
Ireland,IRL,Europe,2019,4934340,25504
Israel,ISR,Asia,2019,9054000,37688
Italy,ITA,Europe,2019,59729081,558249
Jamaica,JAM,North America,2019,2813773,19347
Japan,JPN,Asia,2019,126633000,842925
Jordan,JOR,Asia,2019,10698683,38837
Kazakhstan,KAZ,Asia,2019,18513673,173146
Kenya,KEN,Africa,2019,50951450,175566
Kiribati,KIR,Oceania,2019,124241,1521
Kuwait,KWT,Asia,2019,4441100,13402
Latvia,LVA,Europe,2019,1913822,30631
Lebanon,LBN,Asia,2019,5781907,45273
Lesotho,LSO,Africa,2019,2225702,20029
Liberia,LBR,Africa,2019,4985289,19372
Libya,LBY,Africa,2019,6569088,38115
Lithuania,LTU,Europe,2019,2794137,40225
Luxembourg,LUX,Europe,2019,620001,3398
Madagascar,MDG,Africa,2019,27533134,127057
Malawi,MWI,Africa,2019,18867337,72259
Malaysia,MYS,Asia,2019,32804020,168244
Maldives,MDV,Asia,2019,504508,1377
